物品ID - Item ID,显示名称,物品说明,美术资源,价格,品质,使用等级,最大堆叠数量,是否绑定,是否可放入仓库,是否买卖,是否可丢弃,销毁时间,物品等级,使用效果ID,
D代表道具编号,display name,,,,,,,,,,,,,,
"第1，2位表示可使用道具编号 - 1,2 can use props",限制五个字,,,,,,,1为绑定,1为是,1为是,1为是,单位毫秒,衡量物品,,
10为可使用物品 - can use,,,,,,,,0为不绑定,0为否,0为否,0为否,,的一个标准,,
11为不可使用物品 - can not use,,,,,,,,,,,,,,,
"第3，4位表示道具分类编号 - 3,4 item classification number",,,,,,,最多99,,,,,,,,
1 属性增加 - increase attribute,,,,,,,,,,,,,,,
2 体力回复 - NEG reply,,,,,,,,,,,,,,,
3 武器装备升级材料 - upgrade material,,,,,,,,,,,,,,,
4 设计图纸 - design drawings,,,,,,,,,,,,,,,
5 宝箱 - treasure chest,,,,,,,,,,,,,,,
6 钥匙 - keys,,,,,,,,,,,,,,,
7 无属性物品 - no attribute item,,,,,,,,,,,,,,,
8 任务物品 - task item,,,,,,,,,,,,,,,
9 活动物品 - activity item,,,,,,,,,,,,,,,
10 人物技能书 - Skill book,,,,,,,,,,,,,,,
11 宠物技能书 - pet skill book,,,,,,,,,,,,,,,
12 宠物碎片,,,,,,,,,,,,,,,
"第5.6位表示相同物品分类 - 4,5 item classification",,,,,,,,Binding?,can be put in storage?,buy or sell?,can be discarded?,destroyed with time?,item level,,
"第7.8位表示物品序号 - 6,7 item number",,Item description,Art resource,Price,Quality,Use Level,Max objects,1:yes,1:yes,1:yes,1:yes,(in milliseconds),measure items,,
,,,,,,,up to 99,0:no,0:no,0:no,0:no,,one standard,,
,,,,,,,,,,,,,,,
D10030101,次级溶解剂,武器升级的必需品，用来调和能量波动,D10030101,20,,1,99,1,1,1,1,-1,,,
D10030102,中级溶解剂,武器升级的必需品，用来调和能量波动,D10030102,20,,1,99,1,1,1,1,-1,,,
D10030103,高级溶解剂,武器升级的必需品，用来调和能量波动,D10030103,20,,1,99,1,1,1,1,-1,,,
D10030104,风速精华,携带风能量的晶体，常被用来升级武器,D10030104,20,,1,99,1,1,1,1,-1,,,
D10030105,坚韧结晶,携带神秘能量的晶体，常被用来升级武器,D10030105,20,,1,99,1,1,1,1,-1,,,
D10030106,不灭精华,携带风能量的晶体，常被用来升级武器,D10030106,20,,1,99,1,1,1,1,-1,,,
D10030107,幻影之尘,携带暗能量的晶体，常被用来升级武器,D10030107,20,,1,99,1,1,1,1,-1,,,
D10030108,源泉精华,携带生命能量的晶体，常被用来升级武器,D10030108,20,,1,99,1,1,1,1,-1,,,
D10030109,冰霜结晶,携带寒冰能量的晶体，常被用来升级武器,D10030109,20,,1,99,1,1,1,1,-1,,,
D10030110,焰火之心,携带火焰能量的晶体，常被用来升级武器,D10030110,20,,1,99,1,1,1,1,-1,,,
D10030111,大地结晶,携带土能量的晶体，常被用来升级武器,D10030111,20,,1,99,1,1,1,1,-1,,,
D10030112,腐毒之球,携带毒能量的晶体，常被用来升级武器,D10030112,20,,1,99,1,1,1,1,-1,,,
D10030113,幸运结晶,携带一种神秘能量的晶体，常备用来升级武器,D10030113,20,,1,99,1,1,1,1,-1,,,
D10030114,魔力之尘,携带一种神秘能量晶体，常备用来升级武器,D10030114,20,,1,99,1,1,1,1,-1,,,
D10040101,初级藏宝图,进入神秘副本必备，需要碎片合成,D10040101,20,,1,99,1,1,1,1,-1,,,
D10040102,中级藏宝图,进入神秘副本必备，需要碎片合成,D10040101,20,,1,99,1,1,1,1,-1,,,
D10040103,远古藏宝图,进入神秘副本必备，需要碎片合成,D10040101,20,,1,99,1,1,1,1,-1,,,
D10040104,星韵藏宝图,进入神秘副本必备，需要碎片合成,D10040101,20,,1,99,1,1,1,1,-1,,,
D10040105,初级地图片,藏宝图的一部分，凑齐一定数量可以合成藏宝图,D10040101,20,,1,99,1,1,1,1,-1,,,
D10040106,中级地图片,藏宝图的一部分，凑齐一定数量可以合成藏宝图,D10040101,20,,1,99,1,1,1,1,-1,,,
D10040107,远古地图片,藏宝图的一部分，凑齐一定数量可以合成藏宝图,D10040101,20,,1,99,1,1,1,1,-1,,,
D10040108,星蕴地图片,藏宝图的一部分，凑齐一定数量可以合成藏宝图,D10040101,20,,1,99,1,1,1,1,-1,,,
D10050101,精铁宝箱,精铁制作的宝盒，简单朴实，需要精铁钥匙开启,D10050101,20,,1,99,1,1,1,1,-1,,,
D10050102,青铜宝箱,青铜制作的宝盒，做工不俗，似乎有一段历史了，需要青铜钥匙开启,D10050102,20,,1,99,1,1,1,1,-1,,,
D10050103,白银宝箱,白银制作的宝盒，古朴陈旧，似乎年代很久远了，需要白银钥匙开启,D10050103,20,,1,99,1,1,1,1,-1,,,
D10050104,黄金宝箱,黄金制作的宝盒，璀璨生辉，似乎是上古时期之物，需要黄金钥匙开启,D10050104,20,,1,99,1,1,1,1,-1,,,
D10050105,月光宝盒,隐约透着月光的精华，蕴含神秘力量的宝盒，需要月光之匙开启,D10050105,20,,1,99,1,1,1,1,-1,,,
D10060101,精铁钥匙,精铁制作的钥匙，做工简单，能够开启精铁宝箱,D10060101,20,,1,99,1,1,1,1,-1,,,
D10060102,青铜钥匙,青铜制作的钥匙，做工不俗，能够开启青铜宝箱,D10060101,20,,1,99,1,1,1,1,-1,,,
D10060103,白银钥匙,白银制作的钥匙，做工优良，能够开启白银宝箱,D10060101,20,,1,99,1,1,1,1,-1,,,
D10060104,黄金钥匙,黄金制作的钥匙，贵重华丽，能够开启黄金宝箱,D10060101,20,,1,99,1,1,1,1,-1,,,
D10060105,月光之匙,月亮的精华凝聚而成，清明皎洁，能够开启月光宝盒,D10060101,20,,1,99,1,1,1,1,-1,,,
D11070101,黑曜石,通体幽黑色的奇石，卖给杂货商可换取少量银币,D11070101,20,,1,99,1,1,1,1,-1,,,
D11070102,尖晶石,呈海蓝色的晶体状异石。卖给杂货商可换取较多银币,D11070101,20,,1,99,1,1,1,1,-1,,,
D11070103,猫眼石,形如猫眼的奇石，卖给杂货商可换取较多银币,D11070101,20,,1,99,1,1,1,1,-1,,,
D11070104,五色石,罕见的五色玉石，似乎蕴含着某种神秘的力量，看上去价值不菲。卖给杂货商可换取不少银币,D11070101,20,,1,99,1,1,1,1,-1,,,
D11070105,星光石,光如璀星，华如璨月，名唤“星月石”，价值连城。卖给杂货商可换取大量银币,D11070101,20,,1,99,1,1,1,1,-1,,,
D11070106,祭品：力量,祈福所必须的物品，使用后消失,D11070106,20,,1,99,1,1,1,1,-1,,,
D11070107,祭品：幸运,祈福所必须的物品，使用后消失,D11070106,20,,1,99,1,1,1,1,-1,,,
D11070108,祭品：财富,祈福所必须的物品，使用后消失,D11070106,20,,1,99,1,1,1,1,-1,,,
D11070109,祭品：眷顾,祈福所必须的物品，使用后消失,D11070106,20,,1,99,1,1,1,1,-1,,,
D11070110,祭品：祝福,祈福所必须的物品，使用后消失,D11070106,20,,1,99,1,1,1,1,-1,,,
D11070111,投资券1页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070112,投资券2页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070113,投资券3页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070114,投资券4页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070115,投资券5页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070116,投资券6页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070117,投资券7页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070118,投资券8页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070119,投资券9页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070120,投资券0页,证明你进行过风险投资，集齐十页可合成投资礼包,D11070106,50,,1,20,1,1,1,1,-1,,,
D11070121,投资证书1,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070122,投资证书2,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070123,投资证书3,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070124,投资证书4,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070125,投资证书5,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070126,投资证书6,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070127,投资证书7,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070128,投资证书8,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070129,投资证书9,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070130,投资证书0,证明你进行过风险投资，集齐十页可合成投资大礼包,D11070106,200,,1,20,1,1,1,1,-1,,,
D11070131,投资礼包,辛苦投资的额外收益,D11070106,1000,,1,1,1,1,1,1,-1,,,
D11070132,投资大礼包,辛苦投资的额外收益,D11070106,5000,,20,1,1,1,1,1,-1,,,
D10010101,天书残页,升级阵型所需的基础物品,D11070106,200,,20,1,1,1,1,1,-1,,,
D10010102,铭刻符石,阵型学习材料,D11070106,3000,,20,1,1,1,1,1,-1,,,
D10010103,洗练符石,一级阵型升级材料,D11070106,3000,,20,1,1,1,1,1,-1,,,
D10010104,雕琢符石,二级阵型升级材料,D11070106,3000,,20,1,1,1,1,1,-1,,,
D10010105,精细符石,三级阵型升级材料,D11070106,3000,,20,1,1,1,1,1,-1,,,
D10010106,极致符石,四级阵型升级材料,D11070106,3000,,20,1,1,1,1,1,-1,,,
D10010107,无限符石,五级阵型升级材料,D11070106,3000,,20,1,1,1,1,1,-1,,,
D10010201,孵化蛋壳,孵化器只认识蛋蛋，总的装个样子骗它吧。,D11070106,1000,,,,,,,,,,,
D10080201,宠物蛋1,宠物蛋,D11070101,,,,,,,,,,,,
D10080202,宠物蛋2,宠物蛋,D11070101,,,,,,,,,,,,
D10080203,宠物蛋3,宠物蛋,D11070101,,,,,,,,,,,,
D10080204,宠物蛋4,宠物蛋,D11070101,,,,,,,,,,,,
D10080205,宠物蛋5,宠物蛋,D11070101,,,,,,,,,,,,
D10080206,宠物蛋6,宠物蛋,D11070101,,,,,,,,,,,,
D10080207,宠物蛋7,宠物蛋,D11070101,,,,,,,,,,,,
D10080208,宠物蛋8,宠物蛋,D11070101,,,,,,,,,,,,
D10080209,宠物蛋9,宠物蛋,D11070101,,,,,,,,,,,,
D10080210,宠物蛋10,宠物蛋,D11070101,,,,,,,,,,,,
D10080211,宠物蛋11,宠物蛋,D11070101,,,,,,,,,,,,
D10080212,宠物蛋12,宠物蛋,D11070101,,,,,,,,,,,,
D10080213,宠物蛋13,宠物蛋,D11070101,,,,,,,,,,,,
D10080214,宠物蛋14,宠物蛋,D11070101,,,,,,,,,,,,
D10080215,宠物蛋15,宠物蛋,D11070101,,,,,,,,,,,,
D10080216,宠物蛋16,宠物蛋,D11070101,,,,,,,,,,,,
D10080217,宠物蛋17,宠物蛋,D11070101,,,,,,,,,,,,
D10080218,宠物蛋18,宠物蛋,D11070101,,,,,,,,,,,,
D10080219,宠物蛋19,宠物蛋,D11070101,,,,,,,,,,,,
D10080220,宠物蛋20,宠物蛋,D11070101,,,,,,,,,,,,
D10080221,开心果,宠物食物，提升宠物亲密度,D10030101,,,,,,,,,,,,
D10080222,奇趣糖,宠物食物，提升宠物好奇心,D10030102,,,,,,,,,,,,
D10080223,玲珑饼干,宠物食物，提升宠物才智点,D10030103,,,,,,,,,,,,
D10080101,好奇烙印,一种奇怪的烙印晶体，主要用于升级好奇型宠物技能,D10030104,,,,,,,,,,,,
D10080102,勇猛烙印,一种奇怪的烙印晶体，主要用于升级勇猛型宠物技能,D10030105,,,,,,,,,,,,
D10080103,爱心烙印,一种奇怪的烙印晶体，主要用于升级爱心型宠物技能,D10030106,,,,,,,,,,,,
D10080104,邪恶烙印,一种奇怪的烙印晶体，主要用于升级掠夺型宠物技能,D10030107,,,,,,,,,,,,
D10080105,悟智花,可以开启宠物智慧的花朵，用于激活宠物技能,D10030108,,,,,,,,,,,,
D10080106,水晶冰,特别的冰，用于升级宠物技能,D10030109,,,,,,,,,,,,
D10080107,幸运草,被幸运灌注的草，用于升级宠物技能,D10030110,,,,,,,,,,,,
D10080108,诅咒树叶,拥有邪恶力量的树叶，可以用于升级宠物技能,D10030111,,,,,,,,,,,,
D10080109,魔力卡片,魔幻般的卡牌，可以升级宠物技能,D10030112,,,,,,,,,,,,
D10080110,隐秘意识,一些散乱的意识残骸，通常用来激发宠物本能,D10030113,,,,,,,,,,,,
